date,CSI300_Close,CSI1000_Close,LCVI_Close,SCGI_Close,WASI_Close,CSI300_PB,CSI1000_PB,LCVI_PB,SCGI_PB,WASI_PB
2025/3/3,3888.4738,6273.6699,7793.0761,4785.4078,5144.8037,1.3453,2.1246,0.8632,2.3943,1.5877
2025/3/4,3885.2208,6357.6277,7785.7625,4815.4691,5176.5321,1.3428,2.1492,0.8581,2.4326,1.5944
2025/3/5,3902.5706,6398.237,7856.5366,4814.2034,5201.0337,1.3524,2.1633,0.868,2.432,1.6038
2025/3/6,3956.2369,6534.9711,7884.2066,4900.8355,5285.3792,1.3647,2.203,0.8676,2.4712,1.6237
2025/3/7,3944.0143,6507.7645,7878.6584,4882.219,5262.8346,1.3615,2.1946,0.8677,2.4642,1.6182
2025/3/10,3928.8018,6520.9725,7819.4415,4896.1645,5260.9313,1.3543,2.197,0.861,2.4719,1.6153
2025/3/11,3941.4157,6551.7341,7853.8076,4917.476,5280.7371,1.3593,2.2059,0.8649,2.4835,1.6217
2025/3/12,3927.2315,6566.9679,7819.8308,4922.9423,5280.8958,1.3545,2.2095,0.8599,2.4847,1.6202
2025/3/13,3911.5793,6466.8509,7844.7093,4864.5427,5234.9372,1.3529,2.178,0.8641,2.4586,1.6106
2025/3/14,4006.5567,6571.1707,7998.8462,4962.3074,5341.0791,1.3824,2.2127,0.8778,2.5059,1.642
2025/3/17,3996.7876,6589.5655,8004.8387,4963.6639,5348.1072,1.3793,2.2251,0.8789,2.5036,1.6427
2025/3/18,4007.7229,6611.9263,8020.9732,4978.7691,5366.7228,1.38,2.2346,0.8786,2.5118,1.6466
2025/3/19,4010.168,6564.6767,8064.343,4946.6399,5349.567,1.3824,2.2192,0.8826,2.494,1.6433
2025/3/20,3974.9918,6535.0624,7987.8343,4911.5659,5317.3979,1.3711,2.2114,0.8764,2.4767,1.633
2025/3/21,3914.6956,6405.611,7925.9018,4824.5094,5228.7153,1.3535,2.1696,0.871,2.4351,1.609
2025/3/24,3934.8486,6360.3412,7980.6869,4820.8344,5214.73,1.3579,2.1552,0.8744,2.4339,1.6055
2025/3/25,3932.2951,6310.7641,8011.6421,4802.2842,5195.4124,1.3588,2.1401,0.8789,2.4235,1.603
2025/3/26,3919.3566,6334.9077,7945.7551,4803.509,5201.7543,1.3564,2.1471,0.8757,2.4213,1.6047
2025/3/27,3932.4117,6328.7665,7971.2171,4803.754,5202.5216,1.3592,2.1483,0.8757,2.4213,1.6049
2025/3/28,3915.1662,6268.3214,7947.7713,4763.0631,5161.0088,1.3475,2.1272,0.8673,2.3995,1.5889
2025/3/31,3887.3056,6226.6488,7942.2177,4704.813,5117.2913,1.3307,2.1132,0.8611,2.3695,1.5698
2025/4/1,3887.6841,6259.4838,7905.2266,4729.7037,5136.2041,1.3311,2.1278,0.8583,2.384,1.576
2025/4/2,3884.3858,6277.2533,7934.3233,4735.8307,5139.7158,1.3306,2.133,0.861,2.3875,1.5769
2025/4/3,3861.5034,6203.257,7927.5747,4679.4274,5100.4322,1.3279,2.1105,0.8644,2.3608,1.5692
2025/4/7,3589.4406,5496.4427,7488.4551,4204.0567,4628.2407,1.2475,1.8717,0.8242,2.1197,1.4394
2025/4/8,3650.759,5530.0189,7688.7475,4214.799,4674.5426,1.2722,1.8885,0.8453,2.1303,1.4601
2025/4/9,3686.7943,5652.3303,7682.1221,4305.8775,4755.1606,1.2796,1.9264,0.8427,2.1722,1.4798
2025/4/10,3735.1151,5784.5853,7740.4824,4400.4542,4846.7492,1.29,1.9717,0.8431,2.22,1.5017
2025/4/11,3750.5167,5862.1876,7720.974,4455.8022,4880.6828,1.293,1.9995,0.8415,2.2463,1.5096
2025/4/14,3759.1422,5938.5262,7747.5575,4485.0351,4924.7538,1.2992,2.0292,0.8485,2.2619,1.5237
2025/4/15,3761.2348,5914.0286,7826.2514,4469.5243,4919.7316,1.3097,2.0217,0.8634,2.2537,1.5296
2025/4/16,3772.8204,5835.348,7892.1965,4421.5342,4893.4903,1.3182,1.9947,0.8739,2.2295,1.5273
2025/4/17,3772.2221,5839.5639,7894.5592,4413.0843,4899.7635,1.3111,1.9962,0.8678,2.2255,1.5236
2025/4/18,3772.523,5831.6869,7923.1457,4412.4967,4899.6259,1.3125,1.9903,0.8721,2.2214,1.5235
2025/4/21,3784.8806,5952.6374,7865.1172,4502.453,4955.4689,1.3102,2.0304,0.8633,2.2547,1.5337
2025/4/22,3783.9522,5949.3123,7889.8703,4487.4374,4953.1022,1.3132,2.0284,0.8678,2.2433,1.5349
2025/4/23,3786.8824,5984.5833,7865.3766,4501.3823,4970.402,1.3104,2.0367,0.8628,2.2531,1.5363
2025/4/24,3784.3574,5920.4776,7928.4208,4479.62,4946.0798,1.3127,2.0164,0.8706,2.2442,1.5322
2025/4/25,3786.9937,5939.5021,7899.3762,4476.6908,4956.1612,1.3113,2.0161,0.8673,2.2329,1.5319
2025/4/28,3781.6188,5877.0566,7931.0416,4447.6496,4926.0366,1.3084,1.9963,0.8723,2.2037,1.5222
2025/4/29,3775.0767,5903.3812,7915.6929,4458.1596,4935.83,1.3004,2.0018,0.8679,2.1972,1.5197
2025/4/30,3770.5705,5950.1169,7826.8882,4496.2893,4956.0792,1.2736,2.0117,0.8415,2.2145,1.505
2025/5/6,3808.5424,6102.9221,7853.5503,4600.1577,5046.971,1.2819,2.0581,0.8419,2.261,1.526
2025/5/7,3831.627,6111.4946,7939.1056,4598.934,5072.3134,1.2936,2.0575,0.8534,2.2601,1.5367
2025/5/8,3852.8963,6158.0774,7988.9166,4621.6696,5106.6309,1.2975,2.0713,0.8548,2.2737,1.5447
2025/5/9,3846.1566,6082.0817,8038.2022,4556.4681,5071.1068,1.2988,2.0495,0.8605,2.2456,1.5387
2025/5/12,3890.6096,6167.4606,8080.6097,4622.0631,5136.7816,1.3089,2.0681,0.8621,2.2789,1.5546
2025/5/13,3896.2583,6151.0098,8152.5361,4616.0888,5133.1114,1.3127,2.0666,0.8693,2.2754,1.5558
2025/5/14,3943.2108,6160.3697,8260.2021,4623.0652,5168.2091,1.3282,2.0687,0.8787,2.2793,1.5678
2025/5/15,3907.1992,6057.0357,8226.3805,4543.5194,5109.1193,1.3196,2.0385,0.8768,2.2439,1.5539
2025/5/16,3889.0854,6068.1165,8154.7323,4547.5275,5107.7305,1.3119,2.0432,0.8688,2.2451,1.551
2025/5/19,3877.1453,6095.3369,8144.127,4544.4944,5116.5152,1.3082,2.0551,0.8675,2.246,1.5529
2025/5/20,3898.1705,6146.0166,8185.2755,4565.399,5150.8819,1.3153,2.0737,0.8707,2.2566,1.5628
2025/5/21,3916.3807,6132.1809,8222.7927,4572.5115,5155.1355,1.3206,2.0719,0.8748,2.2603,1.5647
2025/5/22,3913.8651,6066.1031,8267.5533,4524.6456,5122.6554,1.3205,2.0514,0.8781,2.2373,1.5572
2025/5/23,3882.2741,5989.6752,8193.5576,4482.4273,5075.3741,1.31,2.0301,0.87,2.2185,1.5438
2025/5/26,3860.1067,6028.7861,8156.6575,4497.4604,5082.5339,1.3035,2.0416,0.8665,2.2278,1.5441
2025/5/27,3839.3969,6008.4599,8161.9631,4471.6768,5067.4346,1.2997,2.0355,0.8682,2.2199,1.542
2025/5/28,3836.2366,5984.4557,8171.0505,4451.4839,5057.1482,1.2989,2.0294,0.8689,2.2123,1.5397
2025/5/29,3858.6998,6089.5778,8168.9443,4519.7556,5116.5032,1.3037,2.0654,0.8682,2.2466,1.5535
2025/5/30,3840.2323,6026.5603,8180.5541,4467.4169,5074.2899,1.3011,2.0471,0.8714,2.2291,1.5447
2025/6/3,3852.0127,6070.0368,8225.8863,4486.0943,5100.5836,1.3053,2.063,0.8751,2.239,1.5523
2025/6/4,3868.7429,6123.172,8235.1293,4531.4237,5136.9525,1.3088,2.0828,0.8752,2.2624,1.5612
2025/6/5,3877.5557,6167.0149,8214.9505,4564.3373,5158.5486,1.3121,2.0966,0.8746,2.2767,1.5665
2025/6/6,3873.9841,6152.8446,8213.0129,4558.6724,5156.209,1.3137,2.0938,0.8769,2.2783,1.5678
2025/6/9,3885.2459,6218.9637,8232.2935,4588.9926,5195.2338,1.3148,2.1188,0.8764,2.2936,1.5764
2025/6/10,3865.4652,6161.6919,8226.49,4542.6851,5159.8043,1.3101,2.1018,0.8766,2.2742,1.5679
2025/6/11,3894.6252,6186.5122,8278.2259,4579.6484,5193.2354,1.3397,2.1102,0.8807,2.2947,1.5914
2025/6/12,3892.1992,6192.22,8260.7143,4590.8604,5199.8212,1.3385,2.1172,0.8797,2.301,1.5925
2025/6/13,3864.1822,6106.0083,8221.3538,4533.3684,5142.4288,1.3326,2.0888,0.8789,2.2784,1.5792
2025/6/16,3873.7951,6147.46,8270.4625,4541.8464,5170.3295,1.3401,2.0831,0.9138,2.4639,1.5862
2025/6/17,3870.3786,6141.4684,8286.2947,4537.1723,5165.0808,1.3405,2.0808,0.9162,2.4615,1.5852
2025/6/18,3874.9708,6135.3858,8292.3673,4540.3965,5165.2194,1.3449,2.0793,0.9207,2.4654,1.5873
2025/6/19,3843.0912,6048.2243,8246.6407,4501.4233,5103.1296,1.3343,2.0513,0.9197,2.4467,1.5691
2025/6/20,3846.6443,5999.5914,8309.1566,4464.0363,5087.2637,1.3381,2.0381,0.9261,2.4305,1.5673
2025/6/23,3857.9016,6078.2224,8351.4702,4497.4169,5130.6655,1.3421,2.0633,0.9319,2.4477,1.5777
2025/6/24,3904.0342,6194.666,8426.844,4584.0952,5210.4489,1.3548,2.1023,0.9369,2.4946,1.5983
2025/6/25,3960.0662,6276.1634,8518.0191,4644.5883,5282.724,1.3722,2.1296,0.9446,2.5258,1.6197
2025/6/26,3946.0195,6247.791,8525.8458,4614.8965,5267.7059,1.3697,2.12,0.9475,2.5117,1.6156
2025/6/27,3921.7578,6276.9373,8379.7948,4648.5921,5268.1694,1.3559,2.1312,0.9297,2.5314,1.6095
2025/6/30,3936.0791,6356.1813,8347.8302,4713.8938,5314.872,1.3615,2.1588,0.9309,2.5676,1.6218
2025/7/1,3942.762,6373.7679,8400.5816,4731.1362,5329.0521,1.3664,2.166,0.9384,2.5805,1.6279
2025/7/2,3943.6849,6309.4837,8452.4508,4697.0709,5307.7694,1.367,2.145,0.9418,2.5613,1.6233
2025/7/3,3968.0676,6342.638,8450.067,4729.6891,5340.1446,1.371,2.1566,0.9386,2.5805,1.6299
2025/7/4,3982.2034,6312.1966,8542.0501,4701.6414,5332.3804,1.3785,2.1487,0.9486,2.5693,1.6315
2025/7/7,3965.1746,6327.139,8532.4556,4695.4961,5330.8713,1.3754,2.1543,0.948,2.5687,1.6319
2025/7/8,3998.4527,6407.6976,8542.0099,4768.1326,5388.44,1.3834,2.1806,0.9492,2.6046,1.6457
2025/7/9,3991.4006,6390.4655,8530.8708,4753.0071,5378.6626,1.3839,2.1761,0.9526,2.5976,1.6451
2025/7/10,4010.0243,6406.5677,8595.001,4777.6311,5398.9415,1.3923,2.1823,0.9619,2.6098,1.6529
2025/7/11,4014.807,6461.0997,8526.2743,4810.0785,5423.4645,1.392,2.2009,0.9548,2.6276,1.6574
2025/7/14,4017.6678,6462.3051,8556.3141,4803.327,5432.5038,1.3959,2.2027,0.961,2.6274,1.6623
2025/7/15,4019.0644,6442.834,8503.9228,4808.0245,5421.5253,1.3938,2.1956,0.9553,2.6246,1.658
2025/7/16,4007.2019,6462.063,8466.2757,4803.408,5424.5683,1.3915,2.2035,0.9536,2.6239,1.6589
2025/7/17,4034.491,6535.6713,8443.409,4851.7485,5475.4651,1.3968,2.228,0.9496,2.6541,1.6703
2025/7/18,4058.5486,6552.0741,8495.7012,4864.4558,5499.2731,1.4062,2.2348,0.9547,2.6616,1.6787
2025/7/21,4085.6072,6612.2589,8512.9672,4916.7688,5549.6797,1.4129,2.2579,0.9552,2.6888,1.6914
2025/7/22,4118.9582,6637.1035,8549.3733,4950.1922,5583.482,1.4217,2.2683,0.9567,2.707,1.7019
2025/7/23,4119.7685,6607.22,8570.1078,4937.5238,5567.8227,1.4232,2.2584,0.9595,2.6972,1.6991
2025/7/24,4149.0368,6701.12,8546.8107,5022.8314,5627.8596,1.4283,2.2899,0.9538,2.7432,1.7122
2025/7/25,4127.1634,6706.6098,8486.1673,5024.2351,5620.729,1.4207,2.2915,0.9476,2.7463,1.708
2025/7/28,4135.8242,6729.979,8499.9396,5026.9937,5640.9018,1.4219,2.2985,0.9468,2.7451,1.7121
2025/7/29,4152.0247,6773.8843,8453.0316,5055.4619,5666.3109,1.405,2.312,0.9431,2.761,1.7044
2025/7/30,4151.2379,6718.4819,8524.2902,5017.0512,5643.6047,1.4092,2.2947,0.9522,2.7443,1.7038
2025/7/31,4075.5912,6661.1862,8400.0903,4957.0232,5567.1021,1.3903,2.2737,0.9461,2.7088,1.683
2025/8/1,4054.9286,6670.472,8378.7351,4967.1691,5559.6384,1.3828,2.2754,0.9415,2.714,1.6788
2025/8/4,4070.7023,6739.6936,8413.6169,5019.0162,5601.6675,1.3883,2.3004,0.9457,2.7414,1.6903
2025/8/5,4103.45,6787.4806,8508.1966,5046.7534,5645.2615,1.4017,2.3179,0.9568,2.7572,1.7054
2025/8/6,4113.4852,6861.3091,8517.3285,5104.8154,5680.05,1.4042,2.3416,0.9576,2.7878,1.7139
2025/8/7,4114.666,6862.1497,8529.694,5095.8068,5679.9163,1.4067,2.3421,0.9613,2.7821,1.7148
2025/8/8,,,,,,,,,,
